index,turn,phase,step_ms,managed_mb,allocated_mb,gc0,gc1,gc2,save_load_executed,save_success,load_success,save_load_ms
1832,9,2,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1833,10,3,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1834,11,4,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1835,12,5,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1836,13,0,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1837,14,1,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1838,15,2,0.021,8.88,110.07,147,147,147,0,0,0,0.000
1839,16,3,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1840,17,4,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1841,18,5,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1842,19,0,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1843,20,1,0.018,8.88,110.07,147,147,147,0,0,0,0.000
1844,21,2,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1845,22,3,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1846,23,4,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1847,24,5,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1848,1,0,0.017,8.88,110.07,147,147,147,0,0,0,0.000
1849,2,1,0.018,8.88,110.07,147,147,147,0,0,0,0.000
1850,3,2,0.017,8.88,110.07,147,147,147,1,1,1,22.229
1851,4,3,0.045,9.01,110.08,147,147,147,0,0,0,0.000
1852,5,4,0.028,9.01,110.08,147,147,147,0,0,0,0.000
1853,6,5,0.026,9.01,110.08,147,147,147,0,0,0,0.000
1854,7,0,0.026,9.01,110.08,147,147,147,0,0,0,0.000
1855,8,1,0.026,9.01,110.08,147,147,147,0,0,0,0.000
1856,9,2,0.024,9.01,110.08,147,147,147,0,0,0,0.000
1857,10,3,0.026,9.02,110.08,147,147,147,0,0,0,0.000
1858,11,4,0.025,9.02,110.08,147,147,147,0,0,0,0.000
1859,12,5,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1860,13,0,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1861,14,1,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1862,15,2,0.023,9.02,110.08,147,147,147,0,0,0,0.000
1863,16,3,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1864,17,4,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1865,18,5,0.106,9.02,110.08,147,147,147,0,0,0,0.000
1866,19,0,0.031,9.02,110.08,147,147,147,0,0,0,0.000
1867,20,1,0.024,9.02,110.08,147,147,147,0,0,0,0.000
1868,21,2,0.025,9.03,110.08,147,147,147,0,0,0,0.000
1869,22,3,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1870,23,4,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1871,24,5,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1872,1,0,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1873,2,1,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1874,3,2,0.024,9.03,110.08,147,147,147,0,0,0,0.000
1875,4,3,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1876,5,4,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1877,6,5,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1878,7,0,0.023,9.03,110.08,147,147,147,0,0,0,0.000
1879,8,1,0.024,9.04,110.08,147,147,147,0,0,0,0.000
1880,9,2,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1881,10,3,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1882,11,4,0.024,9.04,110.08,147,147,147,0,0,0,0.000
1883,12,5,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1884,13,0,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1885,14,1,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1886,15,2,0.023,9.04,110.08,147,147,147,0,0,0,0.000
1887,16,3,0.015,9.04,110.08,147,147,147,0,0,0,0.000
1888,17,4,0.010,9.04,110.08,147,147,147,0,0,0,0.000
1889,18,5,0.011,9.04,110.08,147,147,147,0,0,0,0.000
1890,19,0,0.011,9.05,110.08,147,147,147,0,0,0,0.000
1891,20,1,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1892,21,2,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1893,22,3,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1894,23,4,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1895,24,5,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1896,1,0,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1897,2,1,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1898,3,2,0.011,9.05,110.08,147,147,147,0,0,0,0.000
1899,4,3,0.010,9.05,110.08,147,147,147,0,0,0,0.000
1900,5,4,0.011,9.05,110.08,147,147,147,1,1,1,21.338
1901,6,5,0.038,9.18,110.08,147,147,147,0,0,0,0.000
1902,7,0,0.022,9.18,110.08,147,147,147,0,0,0,0.000
1903,8,1,0.022,9.18,110.08,147,147,147,0,0,0,0.000
1904,9,2,0.022,9.18,110.08,147,147,147,0,0,0,0.000
1905,10,3,0.021,9.18,110.08,147,147,147,0,0,0,0.000
1906,11,4,0.023,9.18,110.08,147,147,147,0,0,0,0.000
1907,12,5,0.021,9.18,110.08,147,147,147,0,0,0,0.000
1908,13,0,0.021,9.18,110.08,147,147,147,0,0,0,0.000
1909,14,1,0.023,9.19,110.08,147,147,147,0,0,0,0.000
1910,15,2,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1911,16,3,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1912,17,4,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1913,18,5,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1914,19,0,0.022,9.19,110.08,147,147,147,0,0,0,0.000
1915,20,1,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1916,21,2,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1917,22,3,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1918,23,4,0.021,9.19,110.08,147,147,147,0,0,0,0.000
1919,24,5,0.022,9.20,110.08,147,147,147,0,0,0,0.000
1920,1,0,0.021,9.20,110.08,147,147,147,0,0,0,0.000
1921,2,1,0.021,9.20,110.08,147,147,147,0,0,0,0.000
1922,3,2,0.022,9.20,110.08,147,147,147,0,0,0,0.000
1923,4,3,0.021,9.20,110.08,147,147,147,0,0,0,0.000
